,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Screen Name,Tweet,Tweets Ago
68,0.6096,2017-09-18 02:33:18+00:00,0.0,0.801,0.199,CNN,Julia Louis-Dreyfus now holds the record for most #Emmys won by a single performer for one role… https://t.co/gV7NfTm0rT,69
69,0.5719,2017-09-18 02:18:51+00:00,0.0,0.829,0.171,CNN,"In Ho Chi Minh City, a street known to musicians as ""Guitar Street"" -- offers beautifully made acoustic guitars… https://t.co/ifGuXC2U76",70
70,0.8834,2017-09-18 02:08:04+00:00,0.0,0.623,0.377,CNN,"“Master of None's"" Lena Waithe becomes first black woman to win an #Emmy for outstanding writing for a comedy serie… https://t.co/rkkRuRuNIN",71
71,0.2732,2017-09-18 02:00:09+00:00,0.0,0.9,0.1,CNN,"Here’s a rare look at Mount Paektu, a site sacred to North Koreans, as well as their neighbors to the south… https://t.co/smRVTDlP3a",72
72,0.8834,2017-09-18 01:56:33+00:00,0.0,0.593,0.407,CNN,RT @CNNent: .@LenaWaithe is the first black woman to win outstanding writing for a comedy series. https://t.co/riGgr8n63N #Emmys @Televisio…,73
73,0.8271,2017-09-18 01:49:18+00:00,0.0,0.628,0.372,CNN,"RT @CNNent: Reed Morano wins Outstanding Directing for a Drama Series for @HandmaidsOnHulu #Emmys
https://t.co/wTZoMrXnMv https://t.co/vV68…",74
74,0.0,2017-09-18 01:48:06+00:00,0.0,1.0,0.0,CNN,What are ‘sponge cities’? They may just be China’s answer to flooding in urban areas https://t.co/oOuBWDPuWO https://t.co/WzpiUv3fGE,75
75,0.4767,2017-09-18 01:30:12+00:00,0.0,0.838,0.162,CNN,Trump's personal lawyer Michael Cohen is set to appear before the Senate intelligence committee on Tuesday… https://t.co/z58Aguqxuf,76
76,0.5719,2017-09-18 01:29:14+00:00,0.0,0.856,0.144,CNN,"Alec Baldwin wins again at the #Emmys -- this time, for his portrayal of Trump on the most recent season of “SNL""… https://t.co/8fq527kPGb",77
77,0.0,2017-09-18 01:15:07+00:00,0.0,1.0,0.0,CNN,Florida governor issues new nursing home rules after post-hurricane deaths https://t.co/QV3Giwpzd8 https://t.co/H9XerOGeI2,78
78,0.2732,2017-09-18 01:08:05+00:00,0.0,0.87,0.13,CNN,Former White House press secretary Sean Spicer makes a surprise cameo at the #Emmys https://t.co/Ml6hmALXuq https://t.co/2OkbenqQl8,79
79,0.9201,2017-09-18 01:02:21+00:00,0.0,0.456,0.544,CNN,"RT @CNNent: .@AlecBaldwin wins Outstanding Supporting Actor in a Comedy Series for @nbcsnl. #Emmys
https://t.co/or5SsycxwQ https://t.co/Wl2…",80
80,0.4215,2017-09-18 01:00:17+00:00,0.0,0.859,0.141,CNN,"Secretary of State Rex Tillerson says the United States is considering closing its embassy in Havana, Cuba… https://t.co/qEvVRctZek",81
81,0.681,2017-09-18 00:45:07+00:00,0.0,0.763,0.237,CNN,"Looking for a place where you can relax? These are the world's 10 least stressful cities, according to a new study… https://t.co/3a2AuUsqYN",82
82,0.9201,2017-09-18 00:30:52+00:00,0.0,0.478,0.522,CNN,"RT @CNNent: Kate McKinnon wins Outstanding Supporting Actress in a Comedy Series for @NBCSNL #Emmys
https://t.co/ShzLFprosZ https://t.co/mf…",83
83,0.891,2017-09-18 00:30:47+00:00,0.0,0.531,0.469,CNN,"RT @CNNent: .@JohnLithgow wins Outstanding Supporting Actor in a Drama Series for @TheCrownNetflix #Emmys
https://t.co/ZuDrMJOUMv https://t…",84
84,-0.2732,2017-09-18 00:30:03+00:00,0.13,0.87,0.0,CNN,Here's your complete list of #Emmy nominations. Does your show make the cut? https://t.co/ahHxA5o4ZK https://t.co/oV93Wjlz7C,85
85,0.0,2017-09-18 00:15:04+00:00,0.0,1.0,0.0,CNN,The key categories to watch during tonight's #Emmys https://t.co/eZjfrlU2qn https://t.co/ynqoO5HCgv,86
86,0.0,2017-09-18 00:00:22+00:00,0.0,1.0,0.0,CNN,Stephen Colbert returns to the #Emmys in Trump-fueled turnaround https://t.co/UKDQYpxwI3 https://t.co/8ImgdjrpQk,87
87,-0.3612,2017-09-17 23:30:10+00:00,0.189,0.811,0.0,CNN,"Sen. Bernie Sanders disputes Hillary Clinton: ""I worked as hard as I could"" to elect her https://t.co/Vy38F09qg3 https://t.co/Lz1ZOAR1Eu",88
88,0.0,2017-09-17 23:15:07+00:00,0.0,1.0,0.0,CNN,3 things to watch at Janet Yellen's Fed meeting https://t.co/CKTZG03TQd via @CNNMoney https://t.co/zHSVMusVVz,89
89,-0.2732,2017-09-17 23:00:24+00:00,0.13,0.87,0.0,CNN,Here's your complete list of #Emmy nominations. Does your show make the cut? https://t.co/hz9tlIYIAM https://t.co/nfO3mN1Fyw,90
90,0.3612,2017-09-17 22:46:04+00:00,0.0,0.878,0.122,CNN,"Sen. Dianne Feinstein: “I have never been in a state of greater concern about this nation and Korea"" #CNNSOTU https://t.co/9YTe7xH7tB",91
91,-0.34,2017-09-17 22:30:12+00:00,0.146,0.854,0.0,CNN,"Russian forces fire on the US-backed Syrian Democratic Forces, the anti-ISIS coalition says https://t.co/SZsdfnbRxK https://t.co/uxPEdwjrlr",92
92,0.0,2017-09-17 22:23:05+00:00,0.0,1.0,0.0,CNN,The key categories to watch during tonight's #Emmys https://t.co/lIaIgc0wTh https://t.co/WiBfDRWYFn,93
93,0.0,2017-09-17 22:15:03+00:00,0.0,1.0,0.0,CNN,Neil deGrasse Tyson says it might be 'too late' to recover from climate change https://t.co/heFud9GH7Y,94
94,-0.4767,2017-09-17 22:10:07+00:00,0.237,0.763,0.0,CNN,Woman arrested for vandalizing Wall Street's famed bull statue https://t.co/M5YcfZSujX https://t.co/FeLLXOk79z,95
95,-0.2263,2017-09-17 21:53:56+00:00,0.128,0.872,0.0,CNN,Protesters take to the streets of St. Louis for the 3rd day https://t.co/NqM85Z9Stg https://t.co/y34QhBYIw9,96
96,-0.836,2017-09-17 21:47:54+00:00,0.56,0.44,0.0,CNN,Georgia Tech police fatally shoot student after knife confrontation https://t.co/F2OXgMW6EM,97
97,0.0,2017-09-17 21:20:02+00:00,0.0,1.0,0.0,CNN,"With the golf retweet, Trump blunders into the 'Streisand effect,' writes Kara Alaimo for @CNNopinion… https://t.co/A46Or4pfUC",98
98,-0.2263,2017-09-17 21:09:22+00:00,0.106,0.894,0.0,CNN,New protests underway in St. Louis after the acquittal of fmr police officer Jason Stockley https://t.co/FAG8Q91MGp https://t.co/IJU4eJUJCP,99
99,0.0,2017-09-17 20:53:25+00:00,0.0,1.0,0.0,CNN,RT @CNNPolitics: Melania Trump finds her footing after a low-key summer https://t.co/T4o5G7G6HA https://t.co/QpWsg6X5hT,100
100,-0.6444,2017-09-18 12:56:50+00:00,0.397,0.603,0.0,BBCWorld,St Louis: More than 80 arrested in Sunday protests https://t.co/6kSXjXgyxF,1
101,0.4033,2017-09-18 11:44:11+00:00,0.124,0.62,0.256,BBCWorld,RT @BBCTech: Uber sorry for 'Wife Appreciation Day' promotion https://t.co/nV9U8OCCbz,2
102,0.0,2017-09-18 11:34:30+00:00,0.0,1.0,0.0,BBCWorld,"RT @BBCAfrica: Do you speak Afaan Oromoo, Amharic, Tigrinya? Check out the BBC's brand new online services for Ethiopia &amp; Eritrea: https://…",3
103,-0.4767,2017-09-18 11:04:46+00:00,0.181,0.819,0.0,BBCWorld,"RT @BBCNews: Parsons Green Tube attack: Footage of a person leaving a property with Lidl bag 
https://t.co/MdNZfn6fhW",4
104,0.4767,2017-09-18 10:38:51+00:00,0.224,0.383,0.393,BBCWorld,Nigeria's Boko Haram crisis: Zannah Mustapha wins UN award https://t.co/tOyPEGoI8o,5
105,0.34,2017-09-18 10:37:15+00:00,0.082,0.714,0.204,BBCWorld,RT @BBC_HaveYourSay: Has your important flight been affected due to #Ryanair cancellations?  Share your stories https://t.co/cNFicwIYSb htt…,6
